strength,attention,meditation,deltha,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,high_gamma
51,0,0,1716793,1548859,510100,70220,118511,1340612,2088880,124974
51,0,0,711587,449598,41372,23491,48302,153739,345839,43801
80,0,0,330426,174945,55815,24918,49974,309338,541779,61274
51,0,0,560203,252469,35030,8302,46563,215638,200701,58054
51,0,0,760661,250528,68462,68435,19294,184728,483668,49339
51,0,0,354590,473153,99585,29821,47093,383779,568966,33304
80,0,0,17340,35962,9409,9818,9774,276798,43271,10155
51,0,0,571271,180135,30313,13035,29243,356145,576581,40751
51,0,0,469903,83140,33463,45327,36671,271117,505252,73617
51,0,0,352098,161700,45733,32974,47954,231603,261596,48918
80,0,0,960051,131642,62220,37778,36755,127641,372620,23296
51,0,0,503340,123933,10707,31085,11673,175163,252822,33743
51,0,0,412022,108308,62369,34525,104490,246210,659725,57461
51,0,0,1416710,155999,66579,24063,102839,240498,195464,90478
80,0,0,788679,106819,62088,71406,30901,332833,167498,83053
51,0,0,769454,280137,42643,26350,34755,228064,290417,39681
51,0,0,720748,164500,22218,38751,13492,665343,308776,50390
80,0,0,775356,138104,35724,35963,21615,208994,445795,14486
51,0,0,948327,120487,37682,7397,16079,324817,497398,54287
51,0,0,519278,133066,15507,5177,19818,238496,245104,31730
51,0,0,799324,339108,38985,54312,81589,250271,447883,47697
80,0,0,583372,226996,38285,48780,49837,251441,634490,55955
51,0,0,740559,196635,46182,23737,30407,257880,304525,28762
51,0,0,681755,297170,84360,51654,17991,147445,330100,38903
51,0,0,1347189,114507,65086,32000,116798,163019,134168,81329
80,0,0,715725,1305250,85037,52208,122551,886948,911781,242704
51,0,0,493869,554681,357241,319379,178661,152643,315842,188271
26,0,0,1043255,232249,45580,88322,201354,247914,83665,100317
80,0,0,708278,173186,143328,31450,70902,168268,76552,90194
26,0,0,812908,166345,188119,103241,127693,285994,133408,55456
26,0,0,1034304,205241,52315,142098,112644,213402,143376,253364
26,0,0,828501,251022,339408,28410,411258,140984,123299,68345
55,0,0,307755,51158,45694,6403,12199,42436,17575,19710
26,0,0,336253,172215,50432,43485,96654,103537,84213,197602
26,0,0,257366,503354,113105,256027,109126,169528,156002,118696
55,0,0,991400,330260,132840,70859,108784,156923,150659,84916
26,0,0,536481,161727,231319,116233,28210,119979,116140,35915
26,0,0,445591,184525,105802,39923,57473,123703,149246,71610
26,0,0,1868288,1167357,73136,583253,339648,335087,387767,204869
55,0,0,580074,1148314,227516,442873,587955,835825,454458,334820
26,0,0,799879,211311,225461,112303,152435,141412,208648,44322
26,0,0,1072052,114537,347795,52930,15854,285012,156490,77802
55,0,0,517478,489285,154532,134197,83888,112271,64775,61477
26,0,0,594278,322278,116462,154410,45758,94810,133356,24011
26,0,0,332138,98076,77136,12994,21192,15216,26996,24101
55,0,0,1207748,331995,48597,236052,51320,175513,100586,31705
26,0,0,1262338,434103,1410892,1099678,240821,390770,461740,227290
26,0,0,387991,104564,164795,55697,53024,61732,28257,63163
26,0,0,1584823,458973,726417,264694,62799,149873,214253,31836
55,0,0,657527,389665,237298,12503,164285,116435,140615,187812
